created_at;suburb;time;status;location;area
Fri Dec 22 12:57:53 +0000 2023;Serpentine;20:57:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 14:00:42 +0000 2023;Gidgegannup;22:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 14:00:42 +0000 2023;Wooroloo;22:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 14:00:42 +0000 2023;Bailup;22:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 14:00:42 +0000 2023;Mundaring;22:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 14:06:42 +0000 2023;Jarrahdale;22:06:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 14:06:42 +0000 2023;Keysbrook;22:06:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 14:06:42 +0000 2023;Serpentine;22:06:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 16:00:04 +0000 2023;Gidgegannup;00:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 16:00:04 +0000 2023;Wooroloo;00:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 16:00:04 +0000 2023;Bailup;00:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 16:00:04 +0000 2023;Mundaring;00:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 16:01:44 +0000 2023;Jarrahdale;00:01:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 16:01:44 +0000 2023;Keysbrook;00:01:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 16:01:44 +0000 2023;Serpentine;00:01:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 18:00:04 +0000 2023;Gidgegannup;02:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 18:00:04 +0000 2023;Wooroloo;02:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 18:00:04 +0000 2023;Bailup;02:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 18:00:04 +0000 2023;Mundaring;02:00:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 18:01:32 +0000 2023;Jarrahdale;02:01:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 18:01:32 +0000 2023;Keysbrook;02:01:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 18:01:32 +0000 2023;Serpentine;02:01:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 19:51:21 +0000 2023;Jarrahdale;03:51:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 19:51:21 +0000 2023;Keysbrook;03:51:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 19:51:21 +0000 2023;Serpentine;03:51:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 20:07:21 +0000 2023;Gidgegannup;04:07:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 20:07:21 +0000 2023;Wooroloo;04:07:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 20:07:21 +0000 2023;Bailup;04:07:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 20:07:21 +0000 2023;Mundaring;04:07:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 21:40:08 +0000 2023;Jarrahdale;05:40:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 21:40:08 +0000 2023;Keysbrook;05:40:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 21:40:08 +0000 2023;Serpentine;05:40:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 23:36:37 +0000 2023;Jarrahdale;07:36:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 23:36:37 +0000 2023;Keysbrook;07:36:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 23:36:37 +0000 2023;Serpentine;07:36:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 29 01:16:12 +0000 2023;Armadale;09:16:00; BURNT;ROLEYSTONE;CITY OF ARMADALE
Fri Dec 29 01:16:12 +0000 2023;Roleystone;09:16:00; BURNT;ROLEYSTONE;CITY OF ARMADALE
Fri Dec 29 02:30:51 +0000 2023;Gidgegannup;10:30:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 29 02:30:51 +0000 2023;Wooroloo;10:30:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 29 02:30:51 +0000 2023;Bailup;10:30:00; ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
